Company,Job Title,Rating,Review
Walmart,Asset Protection Host,2,"What is the best part of working at the company?they don't tell the truth about your employment there if you were to leave or get firedWhat is the most stressful part about working at the company?store management, the changing seasons and mean customers walmart will not protect you at allWhat is the work environment and culture like at the company?over all the environment is ok if you never have to deal with customersWhat is a typical day like for you at the company?stressful long and dangerous and unsupportive"
Walmart,Robotics,4,Learned a lot about the distribution robotics system. Worked with people with different backgrounds to upkeep and update their robotics system to run smoothly
Walmart,OGP Associate,5,Working at this location in this department is pretty smooth just do your job mind your business and ask questions if your confused   co-workers are nice and compliant 
Walmart,Personal shopper ,1,What is the best part of working at the company?It was a very nice experience until I was terminated for no good reason. What is the most stressful part about working at the company?The management where overbearing and made it very stressful. What is the work environment and culture like at the company?Crappie work environment. Management sucked after 4 years
Walmart,General Maintenance Technician 2,3,Going home is the best partExpect more than job requirements but won’t pay for itThe problem is the favoritism were one person looks great while the rest are actually doing the work 
Walmart,Pharmacy Assistant,4,"The pharmacy manager is alright, but the pharmacists can be mean and would yell at times. There is no way to get pay raise. Other pharmacy assistants are nice though."
Walmart,Cart Attendant,5,"It’s a fun and easy job. At times it gets hard because of the heat, especially in Texas but as long as you stay hydrated and take small breaks when you need too you should be good. It’s kind of a your on your own job. As long as you keep it full and do your job, you should be good."
Walmart,Personal Shopper,3,"What is the best part of working at the company?Paycheck for me. There are upward movement opportunities. What is the most stressful part about working at the company?Management can be ""difficult"" depending on location. It is a customer friendly company which can result in difficult encounters.What is the work environment and culture like at the company?Very pro-customer. Fast paced in certain jobs, slower in others.What is a typical day like for you at the company?Clock in, get to work, check in with team, check in with training. Lunch, then repeat, all while assisting customers as effectively as possible."
Walmart,Sales Associate,5,"Was a fun place to work, hours are inconsistent but that is to be expected with any retail place.  People were cool to work with, not a bad place to be."
Walmart,Asociado de piso de ventas,3,"Good first job, good school, but in the long term it is not worth it unless they give you the opportunity to study and grow there.I was associated with a home and everyone treated me badly, the manager, the subsequent, my area leader, customers, but as a company Walmart is good."
Walmart,OPD Associate,2,The job sucked little hours also get pulled to help other departments.Coach and team leads never give days off also point system sucks if you are actually sick or have something in your life going on.
Walmart,Retail Sales Associate,1,What is the best part of working at the company?The best par of working at Walmart arr the breaks and the lunch !What is the most stressful part about working at the company?The Stressful part is that they’re always short of staff so you’ve to Overwork your self to get the job Done What is the work environment and culture like at the company?Toxic the always talking about each other is a soup opera What is a typical day like for you at the company?A Day For me Was very Nice Because I always stay to my self and I work Alone
Walmart,Stocker,3,The job was okay as a part time job over the Summer. Pay wasn’t amazing but the work was easy enough. Flexible hours and really great staff who make your day.
Walmart,Asset Protection Associate,4,"I greet and smile at all customers, help them with any questions and concerns about products, talk to my boss with any concerns or problems that arise with checking customers receipts, watch customers as they check out to make sure they pay for items, but there are times customers don't pay for items so I tell them it happens when checking out and they can go back and pay for them "
Walmart,Cashier ,2,What is the best part of working at the company?Easy job you will only be on the register only when it was very busy otherwise you will be put on self check out watching customers on the phone they provide on the app making sure no one is stealing.What is the most stressful part about working at the company?They change the rules almost every other day wanting you to do more but the managers & team leads never help you out just sit in their  office watching cameras all day What is the work environment and culture like at the company?It’s okay can be stressful when you are short staffed with no help left to do self checkout alone with angry customers What is a typical day like for you at the company?Depends on if you are full staffed or half staffed. Full staffed you will have some help. But if it’s short staffed you will be stressed out & have to worry about if you will get your breaks on time if you don’t speak up about it they will not give you one so speak up.
Walmart,Loader,3,The loader position is very physically demanding on the body. Pay is decent and the overtime opportunities are even better. The shift work can be incredibly exhausting due to the early hours and late evenings.
Walmart,Apparel Associate,5,They treated me like family. Team Leads are amazing. You get to be creative in terms of merchandising. TLs give you tasks and make sure that you know what you’re doing.
Walmart,Team Member,3,I had a decent time working here especially as it was my first job. Don’t expect to get paid much since it’s a bottom line job. I would recommend to anyone who is interested
Walmart,Walmart produce associate,5,I absolutely enjoyed the job it was very simple the people were nice all of them were the pay was great I had the same routine everyday I was a pickerso it was fun. 
Walmart,Cap 3 associate,4,What is the best part of working at the company?Easy to make friends an mangers are easy to get alone withWhat is the most stressful part about working at the company?When day shift does do there jobsWhat is the work environment and culture like at the company?A lot of fun an easy to learn good paychecks
Walmart,Front End Associate,5,"I have been apart of the Walmart family so to speak for 14 years and have never had a problem. The management has always been kind and understanding, theres room to improve and advance with the company."
Walmart,Remodel Associate,4,Over all it's a fun and fast job. Only issues I've really had is lack of communication between shifts which resulted in confusion and at times major problems and tension between the shifts. 
Walmart,Overnight Stocker,3,"It's ok. Not for everyone. Working overnight. Lots of work, management is ok. Pay is ok. Part time is the way to go. Full time I don't recommend. Will take about 3 months to get use to working at night. Schedule is all over the place. "
Walmart,Cart Associate,1,What is the best part of working at the company?Nothing at all asked tah do more then what we are paid What is the most stressful part about working at the company?They never listen if when coming to them with problems What is the work environment and culture like at the company?It’s was horrible never level embarrassed to work for them especially for the work I didWhat is a typical day like for you at the company?Long hrs doin work for manager who never appreciated anything
Walmart,Digital shopper,2,"Mangers are rude, curse at you and will watch over you and show favoritism.Co-workers would complain about helping each other and don’t clean up behind themselves."
Walmart,General Maintenance Technician 2,3,Going home is the best partExpect more than job requirements but won’t pay for itThe problem is the favoritism were one person looks great while the rest are actually doing the work 
Walmart,Overnight Stocker,3,Overnight is okay since you just basically work by yourself to stock but other than takes a toll on you sooner. Only do overnight if you really need to
Walmart,almacenista,4,A lot of lack of communication is favoritism and to grow you must like all management of the opposite is impossible in addition to the environment is very toxic
Walmart,Stocker,5,The location I worked for had a great attitude but the pay wasn’t the greatest. The only complaint I have was the pay and stuff like that. Overall it is a good starter job. 
Walmart,Produce Associate,3,Not bad but write ups for  days that didn’t pertain to days I was in the department.  Other than that the coworkers were good to work with and everyone made it fun 
Walmart,Loader/Unloader,3,"Not a bad job, stay on your toes and work ahead and you’ll always be fine. Attendance is very important don’t use all your time at once it’ll come and save you later "
Walmart,Customer Service Representative,3,"I mean customers, associates, and management. The point absence system is not one that is implemented for employees benefit but it's not hard to stay in line. I enjoyed the culture but I was early twentys when I was there. As an older person, I don't think the culture is great but its not the worse."
Walmart,Cashier/Customer Serviceg,2,"What is the best part of working at the company?Servicing customers, with a smileWhat is the most stressful part about working at the company?Nothing at all,you have to have a heart to work with customers,it's not about you it's the customers What is the work environment and culture like at the company?Friendly with customers and making happy and pleased so  willing to come backWhat is a typical day like for you at the company?Everyday should be a pleasant day if you have the heart to work and serve people it should be an easy day for you and the customers"
Walmart,Online Grocery Pickup Associate,4,It was a satisfying and entertaining job but management cared more about times and stats than anything else. The schedule wasn't very flexible and they often denied time off requests.
Walmart,sorter/customer service ,3,"Good job, Horrible management. i wasn’t trained properly and i didn’t know my team lead for my first 2-3 weeks. when i wanted to quit they just took me off the schedule without officially letting me know i was fired."
Walmart,Cashier,5,"It was a super fun job. Great employees, great benefits, super fun. Great pay, can’t complain. This is fake, have to submit to see other reviews. Good luck"
Walmart,Cashier,5,I hate it don’t go don’t work there because they will treat you like cra  and they never appreciate how much hard work you put in to there projects  don’t 
Walmart,Walmart Distribution Center,5,Security is excellent benefits are excellent attention to the worker is excellent
Walmart,Front End Cashier,3,"it's retail, so not the best but not the worst. paid better than a lot of similar jobs in my small town. if you just need something to put food on the table while you look for something better, go for it."
Walmart,Lift Driver,3,Feel like just a number and replaceable no matter how long you’ve been with the company.  Get scolded for just talking to a coworker about a question. Pay is good though at the end of it all. 
Walmart,Seasonal Associate,3,"Typical work day is stocking shelves, even items I would rather not. The managers at my store willingly interact with all associates and show their appreciation for their work effort. The hardest part is that corporate feigns appreciation for all we do, otherwise turnover would be lots lower than it is."
Walmart,Online Grocery Pickup Associate,2,"Managers were always nowhere to be found, employees never did their job, one person always had to do the leads job. Employees would constantly disappear from their post and go off to lunch for longer than their supposed times. Managers would be trained by employees on how to do their job."
Walmart,ASM,4,Do yourself a favor don't work here. Nobody cares about you. Management only cares about the bottom line. No room for moving up in the company. Pay is bad.
Walmart,Lawn and Garden/Seasonal Depart Manager,2,"Depends on the management.  A good manager {servant leader} = a good and productive work environment.A not so good manager = complete chaos, no leadership, constant miscommunication."
Walmart,Cashier,2,"You cannot be one minute late or you get written up.  It gives you work experience. You can only stay in the position you started in, cannot move up unless you know someone. Very busy sometimes no breaks. "
Walmart,Senior Technician,3,The retail mindset of leadership has unrealistic goals on older run down end of life equipment. No paid holidays and overtime is after 40 hours . PTO time is according to hours worked and you have to use it for holiday’s. Great place to work for younger apprentices wanting to learn supermarket rack refrigeration. 
Walmart,General Maintenance Technician 2,3,Going home is the best partExpect more than job requirements but won’t pay for itThe problem is the favoritism were one person looks great while the rest are actually doing the work 
Walmart,Sales Associate,5,"Great benefits, good hours, and good pay. I enjoyed working there and they take care of you well. I would reccomend to anyone who is going to apply. Good management "
Walmart,Overnight Stocker,4,The best advice was no other store would be as policy driven. It was nit a lie. I transferred to a NV store and it was horrible the try was there but no execution 
Walmart,Cart Attendant,3,It's a pretty easy job just have to deal with ok management but it's ok I don't ever want to work there again they don't really care about you even if you get hurt
Walmart,SDE-2,4,productive and fun place to work.average interview difficulty level.good culture and benefits.Great compensation for the work.good job security and good perks.
Walmart,Customer Service Representative,5,Amazing co workers and management. The job will help in anyway that they can if you are needing time off for a family matter. They make sure that you get your breaks 
Walmart,Front End Associate,4,"It is a good job overall, especially for the position I am in as a full time student which is my priority. I have worked there for a few years now....."
Walmart,Cap 2 Associate,3,"the people make it worth it, but the pay doesn’t. if you work at walmart, don’t expect to get a raise because they won’t give it to you. they are pretty flexible with shifts which is a plus"
Walmart,OMNI Customer Fulfillment Associate,4,"Worked early mornings for guaranteed 40 work week hours, coworkers were great people. Personally would keep working there if wage wasn't minimum, but otherwise pretty good"
Walmart,Garden Associate,4,I worked here for 2 years and it was a good and easy time. You don’t have many holidays off and have to work Black Friday but other than that I don’t have any real complaints. 
Walmart,Cap Team Associate,3,What is the best part of working at the company?The people you meet along the wayWhat is the most stressful part about working at the company?The way management passes issues from one to anotherWhat is the work environment and culture like at the company?Alot of times stressful.But then in times of need they do step up and help the community What is a typical day like for you at the company?A typical day working with the public...iykyk
Walmart,Walmart unloader/stocker,1,"What is the best part of working at the company?Absolutely nothing, they don’t care about you at all.What is the most stressful part about working at the company?Everything. The people, managers… lack of communication for sure and never want to hear the employees out.What is the work environment and culture like at the company?Very bad and horrible. So bad that if you call off from work, they will threaten you.What is a typical day like for you at the company?Stressful, making you wanna comment suicidal thoughts."
Walmart,Walmart Stocker,5,What is the best part of working at the company?The best part of working with the company is how to help other people and getting know other employees…and also working environment What is the most stressful part about working at the company?The most stressful park about working in this company is when is lot a of people especially when its Christmas What is the work environment and culture like at the company?Always help ing the customers and employees when needed..What is a typical day like for you at the company?The most typical day is when is quiet
Walmart,Associate,3,"Walmart is a convenient and affordable option for a wide range of products, but it may not always provide the best customer service or product quality."
Walmart,Cap 2 Associate,1,Over the past few years things are getting worse month bye month. Horrible management and even worse culture. Nobody is ever held accountable for their lack of productivity wich leads to the good employees having to have to pick up the slack without being compensated for it. 
Walmart,Greeter,5,Full benefits including 401(k) 6% per cent match.  Managers are good at making sure employees get breaks.  There are opportunities for advancement.  Better place to work than some.
Walmart,Overnight Stocker,2,Easy Job but expected to do way to much management always on your case and push to the limits. Also they promote the wrong people in roles they shouldn't be in 
Walmart,Stocker,3,Usaul pay hours great with my schedule  good days  & bad days depending on customers. Management sucks but who cares long as I got my pay went home choose wisley 
Walmart,Cap 2 Associate,1,This job is nothing short of horrible. You will hate your life every single day you work here. Management is horrible and loaded with favoritism. The pay isn’t worth the actual work. Cap 2 is treated like it doesn’t matter as well and is seen as a starting position only. 
Walmart,Electronics Sales Associate,3,"There’s nothing really special about this job. It’s pretty easy as all you really do is sell items in your department. The biggest problems with this job is management, which is usually the issue with any retail store. Overall it’s an ok first job as long as you aren’t expecting great managers and super flexible hours"
Walmart,Stocker,3,"Small store, big trucks and hard to stock at peak time during the day, management was okay from what I remember but like all managers they kinda sucked."
Walmart,General Maintenance Technician 2,3,Going home is the best partExpect more than job requirements but won’t pay for itThe problem is the favoritism were one person looks great while the rest are actually doing the work 
Walmart,Cashier,4,"I worked at Walmart for almost 5 years and when I look back at my time here, I genuinely did enjoy it. It's a job, but the people you work with make it fun and not so unbearable!:) "
Walmart,operador logistico,4,"Excellent loose or work schedule, although there is little growth opportunity, work is not so heavy, and bosses are very good, I recommend tr"
Walmart,Hardline ta,4,Pretty cool place to work honestly. Although I do think it’s a bit unfair the cart attendants make 15 while the associates make 11. I do think they deserve 15 but so do the associates.
Walmart,Sales Associate,3,"tedious work but it’s a minimum wage job can’t expect much more, overtime is always available snd if ur on time for u shift and semi do ur job you’ll be fine"
Walmart,Cashier,4,"Great place to work. Fun environment, friendly and helpful management. I worked there for  15 years and always felt supported from my coworkers and upper staff members."
Walmart,AP Customer Host,5,All managerial people are there to help one achieve their best.  Working 36+ hours a week and getting health insurance coverage and social security benefits are huge.
Walmart,Cashier/Service Desk,1,"Working front end, I loved most of my coworkers and most of the customers. Management was extremely rude and unprofessional, both to the workers as well as to the customers. It was embarrassing and sad, and nothing like the standard Sam Walton would tolerate when he was alive. I worked for a year, repeatedly asked to be full-time. Was told multiple times by different members of management that they would look into it. They finally offered me a full-time position with a set schedule, but once I took that role, my hours were actually cut to 4 / week (not a typo). Many others experienced something similar as well. During this time, they hired many new employees that were irresponsible. It was an insult to see so many good employees basically forced to find new jobs while less qualified individuals were hired and given lots of hours, during preferable times of the day. Absolutely disgusting. The employees and the customers deserve better. "
Walmart,Packer/Sorter,1,"Very  bad environment! Mostly all the people in this warehouse are about controlling, and manipulating people. If your’e a empath they will try to take advantage of you! The clerks in cons are a hot mess! They try to control you, and treat you like they’re your boss. They all think they have power of people. I got hired on full time after 4 months of working there, and decided to quit two weeks later. This warehouse is infested with immature, rude, and bad people! "
Walmart,Stocker,3,Would have to stock shelves overnight withing a specific time frame. If you didn't complete within that time frame you would end up in the office and considered low performance. 
Walmart,Walmart OGP,5,The most enjoyable part of the job is free food in the break rooms and on minority of holidays/ seasonal our company brings together everyone celebrating each holiday. 
Walmart,Cashier,2,"Manager never paid us, messy work environment, and long shifts. But there were some really kind co workers there and some really nice perks you can get"
Walmart,"Ciudad de México, CDMX",1,"A little empathic treatment by the superiors, they pretend that it becomes too and fast for how little they pay. In theory (what they say in online training) all good but being on the floor everything was different, a farce"
Walmart,Front End Manager,1,i would rather have managed the entire country than manage a front end at any Walmart. it was one of the worst possible experiences of my entire life changed me for the worst. walmart should pay for AA counseling and therapy for all associates.
Walmart,employee person,2,"Stable Environment: The company provides a steady work environment with minimal drama. It’s a good place for those who prefer routine and predictability.Decent Pay: Compensation is fair for the industry standard, though there’s little room for negotiation or bonuses.Supportive Coworkers: The team I worked with was friendly and helpful, which made the daily grind more bearable.Cons:Lack of Growth Opportunities: There were limited chances for professional development or upward mobility. It felt like many employees were stuck in their roles without clear paths to advancement.Average Management: While my direct supervisor was approachable, management overall seemed disengaged from employee feedback and often missed opportunities for improvement.Monotonous Tasks: The day-to-day responsibilities became repetitive quickly, which made it hard to stay motivated."
Walmart,Produce Associate,3,Fast paced work environment where you are by yourself doing a two person job most days. Expect to do about two times the work you have time for and feel rushed.
Walmart,Cashier,5,Really fun and exciting times can get busy but good coworkers. I feel like part of the family and sometimes I get perks and benefits from others in the company 
Walmart,Experiencia Laboral,5,Very good workplace and good work environment a place to form experience and good management better the schedules are a bit difficult has very good incentives
Walmart,Cashier,1,Not that great. Attendance rules are extremely strict which to a extent is understandable but when it's ordered by a doctor for a 2 week extended period something should be set to where you don't have that fully counting against you
Walmart,Food/Consumables,3,they had me zoning shelfs after a couple of months i got bored of doing it so i asked for a differnet position. they had me running around doing random things like a chicken with its head chopped off and couldnt seem to find me a position.
Walmart,Stocker,3,It’s okay but favorites are chosen and get certain aisles while others get harder aisles to work on. Has new management a lot. Everybody leaves. Is quick to fire for points
Amazon.com,Warehouse Worker/Delivery Driver,4,"In my time with the company, I’ve experienced a positive work culture where collaboration and open communication are encouraged. A typical day at work involves balancing tasks efficiently with clear guidance from management, making it easier to handle challenges. The management team is approachable and fosters a growth-oriented environment, and I’ve learned invaluable skills in time management, teamwork, and problem-solving. While the workload can be demanding at times, the team spirit and supportive environment make it enjoyable. The most enjoyable part of the job is the sense of accomplishment that comes with meeting targets and the camaraderie among colleagues.” Let me know if you need further adjustments!"
Amazon.com,Stocker,4,"It was very easy and a fun job, my boss was very nice and the atmosphere was good. However the pay was not very good and it was really really hard to get a raise"
Amazon.com,Account Manager,5,Workplace is busy. You have to keep focused. They have great benefits and great opportunities to advance. They give holiday meals. They also respect break times.
Amazon.com,Warehouse Associate,1,You get what you get at amazon sometimes its busy sometimes its not but one thing you can look forward to is the layoffs that come with working for the company
Amazon.com,Manager,5,Easy to work for good company etc. very challenging how ever good & well paid no breaks etc if you need a poo can be hard to hold it in as your on the run 
Amazon.com,Stower,1,This was the worse job ever labor was terrible you barely get a break and they don’t care because you are times so if they see you aren’t working you getwrote up
Amazon.com,Associate,5,Great company face pace work good breaks just have to stand up for long periods it okay tho seasonal especially if you have a disability get a job pay is good will pay for college 
Amazon.com,Logistics Assistant,5,"I found the HR issues VERY disorganized. I was verbally informed by the interim manager that the probationary contract would end on 5/10. I sent an email to HR to inform them that my contract would end at the end of the year, as I wanted to know if I would need to return the following week. I did not even receive an email formalizing the end of the contract. And they called on Monday to find out why I was absent. I went to work on Tuesday (and for another 3 days). Finally, last Saturday my app stopped working, which confirmed the end of the contract. I do not have access to the payslips and HR did not formalize the end of the contract. A lot to be desired and needs to be clearer. It would be great to have a manual with what is really expected of those who are entering temporary contact. The metrics only became clear when it was too late to reverse it.I really enjoyed working at Amazon, and I have great admiration for the leaders and managers. But I think the HR system left a lot to be desired and needs to be cleared."
Amazon.com,Shift Supervisor,2,Non-stop from start to finish at least my days went by fast. Management team always increasing demands and requirements. Overwhelming pressure to constantly change or increase productivity. Human being can only do so much. 
Amazon.com,Marketing Executive,4,"A good place to work and to develop your skills however, they are not reluctant at all to treat you like a number and replace you at a whim if any issues were to arise."
Amazon.com,Learning Ambassador,4,"Not bad I enjoyed working there, great People and management, just wish they kept up the Hygiene of the place, I trained new employees like every week "
Amazon.com,HR Assistant,5,"Great Place to work and the team members were extremely helpful, recognition is good, anybody who is dedicated can easily survive, great pay options as well!!"
Amazon.com,Picker and Packer,5,Had a team that was just fun to work with I miss those guys and girls…. Supervisors always nice and to me it was just fun I wish I never left but weather in Bakersfield was just to much for me and family wanted to move….. the best job I’ve ever had it’s was just plain fun for me. They even had a lot of variety of food and snacks and drinks in the break rooms….. not to mention a stress free environment with arcade games💪🏻 best job hands down
Amazon.com,Volunteer,4,Manager’s are very helpful and try to help you succeed. There are many opportunities to ask questions during training. The resources provided also make it easy to find an answer on your own before reaching out to a manager
Amazon.com,IT Support Technician / Physical Security Support Engineer,5,"“Amazon is a great place to work, with ample opportunities for growth and development. The fast-paced environment helped me sharpen my skills, and I appreciated the supportive team culture. Management was transparent, and the company’s focus on innovation always kept things exciting. While the workload can be demanding at times, it’s rewarding to see the impact of your contributions. Overall, it’s a fantastic place to build a career.”"
Amazon.com,single packer,5,"What is the best part of working at the company?The pay was pretty good, it was a long time ago.  It's straight to the point What is the most stressful part about working at the company?The most stressful part of this job"
Amazon.com,Sorter,4,"Easy, Easier to learn as well as to train, great pay, opportunities on moving up. great staff, great benefits with able to take time off and/or leave. "
Amazon.com,Outbound Warehouse Worker,5,"Friendly people to work with and for, flexible time off. Easy work and  medical office if injured or sick. Plenty of clean bathrooms around the facility."
Amazon.com,Truck Driver,1,a lot of it depends on how you take up work. Its very interesting and the perspective changes from person to person. Its best to have a good attitude when taking up the new role
Amazon.com,WIL1 Regional Sortation Station,5,"This place has come a long way.Unfortunately, a lot of people come here just to get a paycheck and they’re going to hate this job for that reason.This is a great team of people that have come together and made this building work despite the many set backs.TEAM PLAYERS ONLYIf you just want a paycheck, go work at a fast food chain."
Amazon.com,Sps,5,Great place to work in a company like Amazon and show case skills. Growth is stable and fun place to work with good collegues. One of the biggest campus
Amazon.com,Warehouse Worker/Delivery Driver,4,"In my time with the company, I’ve experienced a positive work culture where collaboration and open communication are encouraged. A typical day at work involves balancing tasks efficiently with clear guidance from management, making it easier to handle challenges. The management team is approachable and fosters a growth-oriented environment, and I’ve learned invaluable skills in time management, teamwork, and problem-solving. While the workload can be demanding at times, the team spirit and supportive environment make it enjoyable. The most enjoyable part of the job is the sense of accomplishment that comes with meeting targets and the camaraderie among colleagues.” Let me know if you need further adjustments!"
Amazon.com,Site Lead,3,"Leads used to be able to cover more locations and be more hands on for learning what managers do to help them move up. Also, we used to be able to take any two days off as long as we worked one weekend day per week but they changed that. I had the best boss that really helped me and tried his best to make it a tolerable work place but even he had to move on to another company with how much his former boss and the system screwed him.If you work at a big city or willing to move to one, I think there's plenty of room for career advancement and they're hiring more managers this and next year so it might be good to stick around if you like the job. It was 70~80% customer service and covering shifts and 20~30% sitting down and doing the admin works.There are good tuition assistance program along with other training routes especially if you want to learn about IT, coding, and engineering even. Also, having this leadership experience opened up some interviews for other fields as well so I'm grateful for that. "
Amazon.com,Préparateur de commandes,3,"Never go there the managers speak too bad and take you for their little one if you are young+ shallow salary, you end your day you feel like you get out of GAV"
Amazon.com,Stower/Picker,5,"What is the best part of working at the company?Wages, benefits, fast paced, ideal job What is the most stressful part about working at the company?During peek, trying to match numbers What is the work environment and culture like at the company?It is kept very clean and temperature is kept comfortable, employee's are all very nice and hard working What is a typical day like for you at the company?Setting up boxes, opening boxes, sorting according to size and weight, stowing items according to size and weight. Always cleaning up area and breaking down boxes."
Amazon.com,Alcalá de henares ,4,"Very good site friendly, discounts on several places and food at a good price.I was working packaging packages the negative many hours discounts"
Amazon.com,Agent de tri,1,"What is the most pleasant laspect in working in this company? The pauses remunerated if not the work is good but the superiors do not listen to what one demands, undersults overload of work to be done at the same time allocated as if ifThe team is complete. Which one is most stressful in working in this business? Overload work stress not to end"
Amazon.com,Receptionist,3,"Not a terrible place to work, but management was not great. They had a high turn over and you ended up doing multiple people’s jobs or changing what job you were doing with little notice."
Amazon.com,Picker/Packer,3,"Decent place to work. Like all jobs, management isn't great. Adults act like children, complaining about everything. Very big on safety to the point that safety pading is place everywhere so you don't get hurt. But if you want a simple job this is the one for you. You don't have to be the greatest at your job because you don't get anything special. No need to work hard cause the person next to you gets paid the same for doing less work."
Amazon.com,Sr. Program Manager,2,"Working at Amazon is great for career growth! It is a highly complex company with many exciting projects happening. Your manager does not have any control over compensation and employer policy, so there is very little you can change. It's great to grow in, but not a company to stay long term."
Amazon.com,Ramp Agent,4,Good job for the pay . Can be hard physically but some locations are not that bad. They have good time off and benefits. You can use your time off anytime on the app. 
Amazon.com,Warehouse Associate,1,You’re running all day. By the time you get to the lunch room for lunch you have 5 mins to hurry and eat and get back. Your break is scan to scan. If you have to use the restroom you have to do it on your 15 min break and be fast.
Amazon.com,Amazon Fulfillment Associate,1,"Management says they care about your mental health. But in reality they don’t. Even if you have a doctors note for accommodations. Long hours. 30 min lunch, lots of mandatory overtime"
Amazon.com,Stower/Picker,5,"Job was fun to work at, coworkers are very amazing and outstanding to other people. When your struggling they help you until you master your craft that’s good."
Amazon.com,ASD Teacher,5,"Amazon offers competitive pay and benefits, but its fast-paced, demanding environment can be stressful. Great for those seeking growth and can handle the pressure."
Amazon.com,Picker/Packer,2,It’s a ok place to work but can be very tough mentally.Management are ok but can be unrealistic with targets sometimes. Quite isolating at times and being on your feet all day is tough. 
Amazon.com,Packer,3,This place seems like you’re working alone since it is so big. The place has a lot of computer freaks.It is an okay place to work and the manager could be nice but they fake it.
Amazon.com,Tier 1 Associate,1,"What is the best part of working at the company?The people are great; the problem is corporate policies. If you're not in one of their special-interest groups, you're not going to be accommodated if you need a reasonable medical accommodation. That said, and this is not a complaint because I love hard work, but be ready to walk an average of 10,000+ steps, climb several flights of stairs, and burn at least 1,000 calories per day. If you have issues with your hips, knees, etc., this may not work for you.What is the most stressful part about working at the company?Not being told if you have a computer write-up (the computer writes you up, not a human) and potentially being on a final written and getting fired but not ever being made aware of an issue with your quality of work. What is the work environment and culture like at the company?There's a strong weed culture among the bottom tier workers and do smoke in the parking lot in their cars. Just mind your business, do your job, and go home. Management knows but ignores it, so don't be surprised.What is a typical day like for you at the company?Walking 15-20,000 steps per day, lifting heavy boxes, puling a pallet jack, stacking 30-lb pallets."
